id,question,pseudo_label,pseudo_score,second_label,second_score
1,Kamu diberi dataset penjualan dengan 20% data hilang. Bagaimana kamu menentukan apakah missing value perlu diimputasi atau dibuang?,Data_Engineer_Junior,0.06613280491686649,Data_Engineer_Junior,0.06613280491686649
2,"Jika grafik penjualan tiba-tiba menurun pada satu minggu tertentu, teknik EDA apa yang pertama kamu lakukan?",Data_Analyst_Junior,0.03148219365484187,Data_Analyst_Senior,0.0
3,Kamu menemukan outlier ekstrem pada data keuangan. Bagaimana kamu mengecek apakah itu error atau kejadian valid?,Data_Engineer_Junior,0.044337337557566074,Data_Engineer_Junior,0.044337337557566074
4,"Jika stakeholder meminta insight cepat, tetapi datamu belum bersih, strategi apa yang kamu lakukan?",Data_Analyst_Junior,0.01449611000407418,Data_Analyst_Junior,0.01449611000407418
5,Bagaimana kamu menentukan jenis grafik terbaik untuk menjelaskan tren musiman kepada manajemen?,Data_Analyst_Junior,0.034924296177238884,Data_Engineer_Senior,0.006536311414783688
6,"Jika hasil SQL dan dashboard BI berbeda, langkah apa yang kamu tempuh untuk menemukan sumber masalah?",Data_Analyst_Senior,0.08397666187759559,Data_Analyst_Junior,0.058491464548147146
7,Bagaimana kamu menggunakan analisis korelasi untuk menemukan faktor-faktor yang mempengaruhi retensi pelanggan?,Data_Analyst_Senior,0.054678381939715255,Data_Analyst_Junior,0.023144181696507164
8,Dataset yang kamu terima memiliki 100 kolom. Bagaimana kamu memilih kolom mana yang paling relevan untuk analisis?,Data_Analyst_Senior,0.01495163555366711,Data_Analyst_Senior,0.01495163555366711
9,Bagaimana kamu menjelaskan hasil analisis statistik kepada stakeholder non-teknis?,Data_Analyst_Junior,0.10968255391638027,Data_Analyst_Senior,0.04334272842321228
10,"Jika tolok ukur performa perusahaan berubah, bagaimana kamu memperbarui KPI dalam dashboard?",ML_Engineer_Senior,0.017905960215380004,ML_Engineer_Senior,0.017905960215380004
11,Kamu menemukan distribusi data sangat skewed. Teknik transformasi apa yang kamu pilih?,Data_Analyst_Junior,0.031621593400018445,Data_Analyst_Junior,0.031621593400018445
12,Bagaimana kamu menilai apakah sebuah variabel merupakan confounding variable?,Data_Analyst_Senior,0.0,Data_Analyst_Senior,0.0
13,"Jika hasil A/B testing tidak signifikan secara statistik, apakah eksperimen harus dihentikan atau diperbaiki?",Data_Analyst_Senior,0.06083380831562929,Data_Analyst_Junior,0.032366654206990746
14,Bagaimana kamu menilai kualitas data dari berbagai sumber sebelum dianalisis?,Data_Analyst_Senior,0.0448153298098906,Data_Analyst_Senior,0.0448153298098906
15,"Jika dataset sangat besar, bagaimana kamu melakukan EDA tanpa loading penuh ke RAM?",Data_Analyst_Senior,0.015569308984885549,Data_Analyst_Senior,0.015569308984885549
16,Bagaimana kamu menganalisis anomali yang muncul di time-series mingguan?,Data_Analyst_Senior,0.044987314585660486,Data_Analyst_Junior,0.0
17,Bagaimana kamu memutuskan apakah harus menggunakan median atau mean sebagai measure of center?,Data_Analyst_Junior,0.04464702494189781,Data_Analyst_Senior,0.0
18,"Ketika data memiliki banyak kategori unik, bagaimana kamu menanganinya dalam analisis?",Data_Analyst_Junior,0.06045885363919091,Data_Engineer_Junior,0.0383116263361426
19,"Jika kamu menemukan multikolinearitas dalam analisis regresi, apa langkah koreksi yang kamu lakukan?",Data_Analyst_Senior,0.06935050406144941,Data_Analyst_Junior,0.026978404934060056
20,Bagaimana kamu menentukan apakah korelasi bersifat kausal atau tidak?,Data_Analyst_Senior,0.027524415072620906,Data_Analyst_Junior,0.0
21,Bagaimana kamu menggunakan pivot table untuk menemukan pola tersembunyi?,Data_Analyst_Junior,0.0690372957503827,Data_Engineer_Senior,0.007904955225521131
22,"Jika histogram menunjukkan pola multimodal, apa interpretasi awalmu?",Data_Analyst_Senior,0.0,Data_Analyst_Senior,0.0
23,Bagaimana kamu menentukan metode sampling terbaik ketika dataset terlalu besar?,Data_Analyst_Junior,0.0,Data_Analyst_Junior,0.0
24,"Jika stakeholders meminta insight dari data real-time, alat BI apa yang kamu gunakan?",Data_Analyst_Junior,0.04482981112648052,Data_Analyst_Junior,0.04482981112648052
25,Bagaimana kamu melakukan data cleaning pada data yang bersifat semi-terstruktur?,Data_Analyst_Junior,0.10331695187497478,Data_Analyst_Junior,0.10331695187497478
26,Kamu menemukan duplikasi data pelanggan. Bagaimana menentukan duplikasi yang valid atau tidak?,Data_Analyst_Senior,0.029178505505588558,Data_Analyst_Senior,0.029178505505588558
27,"Jika terjadi perbedaan tipe data antara sumber sistem, bagaimana kamu menyeragamkannya?",Data_Engineer_Junior,0.09603552394425956,Data_Engineer_Senior,0.04076209903318714
28,Bagaimana kamu menentukan confidence interval yang tepat untuk laporan analisis?,Data_Analyst_Junior,0.05392887062660583,Data_Analyst_Senior,0.021444521883722395
29,"Jika kamu menemukan hubungan nonlinear, apakah korelasi Pearson masih tepat digunakan?",Data_Analyst_Senior,0.021515669643240733,Data_Analyst_Junior,0.0
30,Bagaimana kamu mengidentifikasi faktor penyebab churn pelanggan?,Data_Analyst_Senior,0.0252987669861904,Data_Analyst_Junior,0.0
31,"Jika kamu harus membuat dashboard dalam sehari, bagian mana yang kamu prioritaskan?",Data_Analyst_Junior,0.015938386606104787,Data_Analyst_Junior,0.015938386606104787
32,Bagaimana kamu mengevaluasi efektivitas promosi menggunakan data transaksi?,Data_Analyst_Junior,0.03575483197948846,Data_Analyst_Junior,0.03575483197948846
33,Bagaimana kamu membuat segmentasi pelanggan hanya dengan data demografis?,Data_Analyst_Senior,0.11329047311156151,ML_Engineer_Senior,0.04325457196134543
34,"Jika kamu menemukan nilai negatif pada kolom yang tidak boleh negatif, apa langkah investigasimu?",Data_Analyst_Senior,0.0,Data_Analyst_Senior,0.0
35,Bagaimana kamu menentukan granularity yang tepat untuk analisis time-series?,Data_Analyst_Senior,0.07498659175594417,Data_Analyst_Junior,0.032703471564968355
36,"Jika meeting butuh insight cepat, bagaimana kamu melakukan EDA super singkat?",Data_Analyst_Junior,0.035878509352273644,Data_Analyst_Senior,0.0
37,Bagaimana kamu mendeteksi apakah data bersifat seasonality atau tidak?,Data_Analyst_Junior,0.038793753167120026,Data_Analyst_Junior,0.038793753167120026
38,Bagaimana kamu mengukur dampak suatu kebijakan perusahaan menggunakan data historis?,Data_Analyst_Junior,0.03163939556682738,Data_Analyst_Junior,0.03163939556682738
39,"Jika data tidak normal, apakah uji-t masih dapat digunakan?",Data_Engineer_Junior,0.03869514298066871,Data_Engineer_Junior,0.03869514298066871
40,Bagaimana kamu menentukan apakah data memiliki heteroskedastisitas?,Data_Analyst_Junior,0.047803204016410056,Data_Analyst_Junior,0.047803204016410056
41,"Jika kamu harus menggabungkan dua dataset berbeda struktur, apa strategi terbaik?",Data_Analyst_Senior,0.0,Data_Analyst_Senior,0.0
